name,componente,codigo_cmn,n_decreto,categoria,fecha_decreto,nombre,codigo_raiz,observacion_division_politica_administrativa,tipo_de_decreto,fecha_de_publicacion_en_el_diario_oficial,superficie_oficial_en_hectareas,superficie_oficial_en_metros_cuadrados,lon,lat
Espejos de agua y las 4 esculturas de mármol blanco de la Plaza de Angol,Escultura de mármol,00421_MH_09201,777,Monumento Histórico,04-08-1986,Espejos de agua y las 4 esculturas de mármol blanco de la Plaza de Angol,00417_MH_09201,Sin Observaciones,Decreto Supremo,24-09-1986,0,0,-72.708482,-37.798934
Casa y Parque de Don Carlos Thiers,No aplica,00650_MH_09101,31,Monumento Histórico,22-01-1996,Casa y Parque de Don Carlos Thiers,No aplica,Sin Observaciones,Decreto Exento,0:00:00,0,0,-72.60279001,-38.73679
Casa de Máquinas de Temuco y material rodante compuesto de catorce locomotoras,Casa de Máquinas de Temuco,00481_MH_09101,582,Monumento Histórico,01-12-1989,Casa de Máquinas de Temuco y material rodante compuesto de catorce locomotoras,No aplica,Sin Observaciones,Decreto Supremo,23-02-1990,0,0,-72.570266,-38.725714
Complementa declaración de Monumento Histórico de Casa de Máquinas de Temuco,Tres caballos de agua,00787_MH_09101,20,Monumento Histórico,17-01-2000,Complementa declaración de Monumento Histórico de Casa de Máquinas de Temuco,No aplica,Sin Observaciones,Decreto Exento,09-02-2000,"0,4965","4965,55",-72.570768,-38.727663
Complementa declaración de Monumento Histórico de Casa de Máquinas de Temuco,Planta elevadora de carbón,00788_MH_09101,20,Monumento Histórico,17-01-2000,Complementa declaración de Monumento Histórico de Casa de Máquinas de Temuco,No aplica,Sin Observaciones,Decreto Exento,09-02-2000,0,0,-72.570636,-38.72798799
Fuerte de Nuestra Señora de las Nieves de Boroa,No aplica,00605_MH_09111,224,Monumento Histórico,20-05-1994,Fuerte de Nuestra Señora de las Nieves de Boroa,No aplica,Sin Observaciones,Decreto Exento,11-06-1994,0,0,-72.872625,-38.808208
Sitio de Villarrica,No aplica,00606_MH_09120,243,Monumento Histórico,01-06-1994,Sitio de Villarrica,No aplica,Sin Observaciones,Decreto Exento,23-06-1994,"0,6188",6188,-72.229814,-39.277124
Torreón Picarte,No aplica,00003_MH_14101,744,Monumento Histórico,24-03-1926,Torreón Picarte,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-73.23250737,-39.81774541
Torreón Los Canelos,No aplica,00004_MH_14101,744,Monumento Histórico,24-03-1926,Torreón Los Canelos,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-73.24867291,-39.81778584
Castillo de Niebla,No aplica,00014_MH_14101,3869,Monumento Histórico,14-06-1950,Castillo de Niebla,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-73.402845,-39.869753
Casa de Don Carlos Andwanter.,No aplica,00301_MH_14101,7829,Monumento Histórico,29-10-1981,Casa de Don Carlos Andwanter.,No aplica,Sin Observaciones,Decreto Supremo,17-12-1981,0,0,-73.250528,-39.812725
Las casas Prochelle I y II y el Parque Prochelle,Casa Prochelle II,00398_MH_14101,918,Monumento Histórico,28-11-1985,Las casas Prochelle I y II y el Parque Prochelle,00397_MH_14101,Sin Observaciones,Decreto Supremo,10-01-1986,0,0,-73.25024584,-39.81074489
Las casas Prochelle I y II y el Parque Prochelle,Parque Prochelle,00399_MH_14101,918,Monumento Histórico,28-11-1985,Las casas Prochelle I y II y el Parque Prochelle,00397_MH_14101,Sin Observaciones,Decreto Supremo,10-01-1986,0,0,-73.2506111,-39.81140699
Fuerte de San Luis de Alba de Amargos,No aplica,00001_MH_14102,744,Monumento Histórico,24-03-1926,Fuerte de San Luis de Alba de Amargos,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-73.42384761,-39.87339851
Fuerte de San Carlos,No aplica,00017_MH_14102,3869,Monumento Histórico,14-06-1950,Fuerte de San Carlos,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-73.456278,-39.853812
Fortín San José de Alcudia,No aplica,00010_MH_14204,3996,Monumento Histórico,28-07-1927,Fortín San José de Alcudia,No aplica,Sin Observaciones,Decreto Supremo,0:00:00,0,0,-72.953121,-40.329074
Casa Mohr Pérez,No aplica,00342_MH_10301,1630,Monumento Histórico,12-12-1983,Casa Mohr Pérez,No aplica,Sin Observaciones,Decreto Supremo,21-01-1984,0,0,-73.13428499,-40.57467193
Casa de Enrique Schüller,No aplica,00343_MH_10301,1630,Monumento Histórico,12-12-1983,Casa de Enrique Schüller,No aplica,Sin Observaciones,Decreto Supremo,21-01-1984,0,0,-73.13300191,-40.57472281
Casa Sürber,No aplica,00344_MH_10301,1630,Monumento Histórico,12-12-1983,Casa Sürber,No aplica,Sin Observaciones,Decreto Supremo,21-01-1984,0,0,-73.13270122,-40.57473566
Casa de Germán Stückrath,No aplica,00345_MH_10301,1630,Monumento Histórico,12-12-1983,Casa de Germán Stückrath,No aplica,Sin Observaciones,Decreto Supremo,21-01-1984,0,0,-73.13232532,-40.57475091
Casa de Federico Stückrath,No aplica,00346_MH_10301,1630,Monumento Histórico,12-12-1983,Casa de Federico Stückrath,No aplica,Sin Observaciones,Decreto Supremo,21-01-1984,0,0,-73.1319118,-40.57476667
Casa Hollstein,No aplica,00767_MH_10301,261,Monumento Histórico,08-09-1999,Casa Hollstein,No aplica,Sin Observaciones,Decreto Exento,23-08-1999,"0,034206","342,06",-73.10287847,-40.57978615
